TÍTULO,NOME COORDENADOR,CAMPUS
Caracterização das polpas de frutas do cerrado processadas pela COPABASE/ Arinos -MG,Elis Marina Fonseca Almeida,Arinos
Composta Arinos: Rede de Compostagem e vermicompostagem de resíduos Orgânicos,Reginaldo Proque,Arinos
Construção de Granja e Manejo de Aves no Centro de Cultura Natália em Arinos- MG,Danilo Henrique Divardin,Arinos
Curso de capacitação para cuidadoras infantis,Elza Cristiny Carneiro Batista,Arinos
Difusão de Tecnologia na cultura da melancia para os agricultores familiares de Arinos- MG,Juliana Maria Nogueira Pereira,Arinos
Educação ambiental e Cidadania,Edna Aparecida Andrade Armond,Arinos
Educação para a vida,Gracieli de Monteiro Miranda,Arinos
Estudo etnobotânico de plantas medicinais utilizadas no assentamento Carlos Lamarca,Marcelo Marcos Magalhães,Arinos
Gestão ambiental de áreas verdes urbanas do município de Arinos,Gabriel Muller Valadão,Arinos
Herbário de doenças de plantas: Uma proposta prática no âmbito educacional,Luana da Silva Botelho,Arinos
"Hortaliças na região de Arinos e entorno: Produção, Vivencia, conscientização e Consumo",Luana da Silva Botelho,Arinos
JIIFA - Jogos internos dos Instituto Federal do Norte de Minas Gerais Campus Arinos,Romualdo Ferreira dos Santos,Arinos
"Horta no sistema de Produção Agroecológica Integrada e Sustentável (PAIS) no IFNMG Arinos, como instrumento de educação ambiental",Maria Helena Alves Pereira,Arinos
Oficinas de Praticas Esportivas,Romualdo Ferreira dos Santos,Arinos
Produção de Bonsais com plantas nativa do Cerrado,Cinthia Gracielly Rodrigues,Arinos
Suporte Técnico Unopar - Suporte e manutenção aos recursos tecnológicos da UNOPAR - Universidade Norte do Paraná,Danilo Silveira Martins,Arinos
SUTEC INFO: Suporte e Manutenção aos Recursos Tecnológicos de Instituições da cidade de Arinos/MG,Danilo Silveira Martins,Arinos
Tesouros da Narrativa: uma linguagem verbal e corporal,Djanine Raquel Cantuária Santos Fonseca,Arinos
Treinamento Esportivo para participação em jogos escolares,Aherton Batista Júnior,Arinos
Formação de Equipes Esportivas em Diferentes modalidades para participação em jogos escolares,Aherton Batista Júnior,Arinos
Teatro cinema,Daniel Alberti Perez,Diamantina
Micro-organismos: vilões ou heróis?,Juliana Rocha de Meira Pires,Diamantina
Grupo de Improvisação,Daniel Alberti Perez,Diamantina
"Teatro, experimentação e tecnologia, como ferramentas para o ensino de ciências",Janainne Nunes Alves,Diamantina
Inventariação de sítios de geodiversidade no município de Diamantina,João Antônio Motta Neto,Diamantina
Bioindicadores de qualidade das águas: quem somos nós?,Juliana Rocha de Meira Pires,Diamantina
Mapeamento dos Pontos de Entrega Voluntária (PEV) de material reciclável no município de Diamantina,João Antônio Motta Neto,Diamantina
O IF também é nosso,André Silva de Oliveira,Diamantina
Projeto de implantação de Centro de Línguas do IFNMG Campus Diamantina,Carla Pereira Silva,Diamantina
Produção Cultural mão na Massa,Flor Murta,Diamantina
Tribo Corpo Raiz,Mariana Emiliano Simões,Diamantina
Pequenos Gigantes,Bruna Tatianne Moura de Queirós,Janaúba
Cineliterário,Dinamor Chicarelli do Nascimento,Janaúba
Orientação Profissional para o mercado de trabalho,Antônio Pinheiro Caires,Janaúba
IF Janaúba Digital,Rômulo Silveira Ramos,Janaúba
Cantando o Gorutuba,Hellen Vivian Moreira dos Anjos,Janaúba
Coleta Seletiva Solidária,Fabrício Silva Ribeiro,Janaúba
Poluição Sonora na avenida do Comercio na cidade de Janaúba,Fabrício Silva Ribeiro,Janaúba
I Mostra de Física e Matemática do IFNMG /Campus Janaúba,Júlio César Barbosa Rocha,Janaúba
Minuto Empreendedor,Cleber Roberto Souza,Janaúba
Ações de Extensão em Engenharia de Segurança do Trabalho,Karla Ulisses Lima,Januária
Capacitações em Planejamento e Orçamento de Obras,Karla Ulisses Lima,Januária
Ações de Extensão em Engenharia Civil na APAC Januária,Karla Ulisses Lima,Januária
História a partir do Rock,Fábio Antunes Vieira,Januária
"Introdução à automação, eletrônica e robótica utilizando arduíno, para alunos do IFNMG - Campus Januária",Felipe Augusto Oliveira Mota,Januária
Centro de línguas,Gustavo Leal Teixeira,Januária
Planejamento agronômico e difusão de tecnologia para aproveitamento do resídio da produção de cachaça e irrigação na cana-de-açúcar,Ednaldo Liberato de Oliveira,Januária
Planejamento agronômico e difusão de tecnologia para a propriedade Fazenda Boqueirão,Ednaldo Liberato de Oliveira,Januária
Difusão de Tecnologias na produção de variedades tradicionais de Zean mays em Sistema de Plantio Direto no município de Januária - MG,Alberto Luiz Ferreira Berto,Januária
Melhor Idade em Ação,Aline Caciquinho S. Ferreira,Januária
Climatologia e metereologia em Januária - MG: disseminando conhecimento científico para um entendimento popular,Antônio Fábio Silva Santos,Januária
Sementes crioulas - resgatando a agrobiodiversidade do feijão crioulo,Aroldo Gomes Filho,Januária
"IFTV uma poderosa arma de construção e transmissão de conhecimento aplicada ao Ensino, à Pesquisa e à Extensão",Carlos Danilo Santos Lima Oliveira,Januária
"Implantação de canteiros alternativos e beneficiamento de plantas medicinais e condimentos, no município de Januária - Minas Gerais",Claubert Wagner Guimarães de Menezes,Januária
Inclusão Digital de crianças e adolescentes da entidade Servir,Cleiane Gonçalves Oliveira,Januária
A musicalização como instrumento de inclusão social,Daniel Meira de Oliveira,Januária
Implantação da coleta seletiva no Residencial Liberdade em Januária,Danilo Pereira Ribeiro,Januária
Arborização de áreas residenciais localizadas em Januária,Dilermando Dourado Pacheco,Januária
"Suporte Técnico no manejo pratico e conservacionista a apicultores associados à Arajan, no município de Januária - MG",Eduardo Souza do Nascimento,Januária
Conscientização e recrutamento de voluntários para combate ao Aedes Aegypti em escolas do município de Januária - MG,Eliane Souza Gomes Brito,Januária
ADM em pauta: criação de canal acadêmico para disseminação de conhecimento e informações para a comunidade acadêmica e empresários locais,Érica Souza Tupiná,Januária
"Atender, Entender e encantar o visitante: curso profissionalizante para os guias do Parque Nacional Cavernas do Peruaçu",Érica Souza Tupiná,Januária
Elaboração de pães e biscoitos enriquecidos com polpa de pequi,Geralda Magela Costa Nobre,Januária
Adote uma arvore,Gracielly Ribeiro de Alcantara,Januária
"Produção de Mudas nativas do bioma Cerrado, para recuperação e proteção de nascentes e curso d?agua na região de Januária",Gracielly Ribeiro de Alcantara,Januária
"Pluriatividade e sucessão na agricultura familiar na comunidade quilombola de alegre, em Januária - MG",Idemar Magalhães Passos,Januária
Construção e Manutenção de Instrumentos musicais / oficina de violão,Ivan Carlos Schwan,Januária
Práticas musicais de conjunto,Ivan Carlos Schwan,Januária
Cultivo de hortaliças para melhorias na alimentação e autoestima de idosos asilados,Jomar de Oliveira Vasconcelos,Januária
Cultura Afro e Cinema: a sétima arte como recursos no combate ao preconceito ético-racial,Leandro de Aquino Mendes,Januária
