TÍTULO,NOME COORDENADOR,CAMPUS
Desenvolvendo o Empreendedorismo Local: Ações Extensivas Para Novos Negócios e Execução do Clube do Empreendedor,Edilson Jardim Viana,Salinas
Portfólio de Oportunidades,Felipe Cimino Duarte,Salinas
O mapa da mina: mapeando as nascentes urbanas de Teófilo Otoni-MG ,Sergio Lana Morais ,Teófilo Otoni
Mapeamento participativo de sementes crioulas para o fortalecimento da agroecologia no município de Teófilo Otoni-MG ,Lucas Teixeira Ferrari ,Teófilo Otoni
Árvore Delivery: Fomento da Arborização e Mapeamento das Árvores Urbanas De Teófilo Otoni - MG ,Ivan Carlos Carreiro Almeida,Teófilo Otoni
IFNMG Cultura e Arte,Leandro de Paula Liberato,Teófilo Otoni
"""Produtores de água em Teófilo Otoni: Parceria pela Vida""",Ivan Carlos Carreiro Almeida,Teófilo Otoni
"Identificação e divulgação dos agentes, eventos, projetos e espaços culturais na cidade de Teófilo Otoni/MG",Yuri Bento Marques,Teófilo Otoni
Introdução à Programação de Computadores para alunos do ensino fundamental e médio por meio da ferramenta Scratch 2,Yuri Bento Marques,Teófilo Otoni
Conservação e produção rural sustentável: uma parceria para a vida.,Alexandre Petusk Felipe,Teófilo Otoni
Projeto Acompanhamento de Egressos,Yuri Bento Marques,Teófilo Otoni
Projeto de Elaboração do Portfólio de Oportunidades do IFNMG,Yuri Bento Marques,Teófilo Otoni
Mucuri Cultura e Arte,Leandro de Paula Liberato,Teófilo Otoni
Desenvolvendo o Empreendedorismo Local: Ações Extensivas Para Novos Negócios e Execução do Clube do Empreendedor,Gustavo Henrique Silva de Souza,Teófilo Otoni
Sustentabilidade Ambiental: Gerenciamento de Resíduos Sólidos no Campus Teófilo Otoni,Ivan Carlos Carreiro Almeida,Teófilo Otoni
