TÍTULO,NOME COORDENADOR,CAMPUS
Desenvolvimento socioeconômico e técnico científico sobre a cultura da mandioca,Maria Helena Alves Pereira,Arinos
Parque Sustentável de Pneus (P.S.P),Josue Reis Batista Junior,Arinos
"Capacitação, treinamento e assistência do preparo do solo aos agricultores familiares da Região do Vale do Urucuia cooperados a COPABASE em parceria com o IFNMG CAMPUS ARINOS",Jose Francisco Teixeira Pitangui,Arinos
Difusão de Tecnologias para produção de abóbora híbrida para os Agricultores Familiares de Arinos - MG,Josedir Lopes de Araujo,Arinos
Assessoria técnica: a extensão a serviço da agricultura familiar na região de Arinos - MG,Ronaldo Porto Madureira,Arinos
Horta no sistema de produção agroecológica integrada e sustentável (pais) no IFNMG Arinos como instrumento de educação ambiental,Maria Helena Alves Pereira,Arinos
Inseminação Artificial em Bovinos Voltado aos Pequenos produtores do Município de Arinos-MG,Ronan Aparecido Valadares Santana,Arinos
"O sorgo na alimentação humana: capacitação de agricultores familiares no município de Arinos, MG.",Danilo Henrique Divardin,Arinos
Programa Controle de Fraude do leite,Maycon Luiz Amaral Magalhaes,Arinos
Produção da batata doce para uso em entidades carentes,Gustavo Rodrigues Morgado,Arinos
Desempenho bioeconômico do confinamento de bovinos alimentados com dieta com grão inteiro,Ronan Aparecido Valadares Santana,Arinos
Oficinas de produção de bonsais com plantas nativas do cerrado,Cinthia Gracielly Rodrigues,Arinos
Implementação de horta de plantas medicinais no instituto federal do norte de minas gerais na cidade de Arinos - MG,Carla Mendonca de Souza,Arinos
Programa qualidade do leite,Gustavo Rodrigues Morgado,Arinos
Juntos contra o desperdício e as perdas de frutas e hortaliças,Francisco Valdevino Bezerra Neto,Arinos
Pedais do Sertão,Marcele Maria Ferreira Lopes,Arinos
Difusão de Tecnologias no cultivo do Meloeiro em Arinos - MG,Juliana Maria Nogueira Pereira,Arinos
Assistência Técnica para os produtores de hortaliças.,Francisco Valdevino Bezerra Neto,Arinos
A Educação Ambiental como estímulo à consciência ecológica numa escola de assentamento rural,Diorny da Silva Reis,Arinos
Implantação de Horta Escolar de Baixo Custo,Manoel Xavier de Oliveira Junior,Arinos
Revitalização de praças na cidade de Arinos - MG,Camila Molina Palles,Arinos
Projeto Educacional Hidroponia: aprendendo com o IFNMG - Campus Arinos.,Diorny da Silva Reis,Arinos
Difusão de Novas Tecnologias na Cultura da Melancia para os Agricultores Familiares de Arinos-MG,Ronaldo Porto Madureira,Arinos
Laboratório Nota Mil,Maria Flavia Pereira Barbosa,Arinos
Criação alternativa de Aves semi caipira,Diogo de Moraes Cardoso,Arinos
Programa nacional de alimentação escolar em ação: a extensão a serviço da agricultura familiar na região do município de Arinos - MG,Josue Reis Batista Junior,Arinos
Portfólio de Oportunidades,Warley Ferreira Nascimento ,Arinos
Clube do Empreendedor do IFNMG, Carla Mendonca de Souza,Arinos
Acompanhamento de Egressos,Josue Reis Batista Junior ,Arinos
Sustentabilidade Ambiental,Reginaldo Proque ,Arinos
"II Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG",Romualdo Ferreira dos Santos ,Arinos
Caracterização físico-química do doces de leite comercializados nas feiras livres da cidade de Arinos-MG,Elis Marina Fonseca Almeida,Arinos
Reciclando e Brincando,Karla Nunes Oliveira,Diamantina
Desenvolvendo o Pensamento Computacional no Ensino Fundamental,Bruno Lopes de Faria,Diamantina
Florestas para o futuro,Emerson Delano Lopes,Diamantina
Micro-organismos: vilões ou heróis?,Juliana Rocha de Meira Pires,Diamantina
Tribo Corpo Raiz,Mariana Emiliano Simoes,Diamantina
Uso do lúdico em sala de aula: Uma abordagem envolvendo cinema e ensino de química, Janainne Nunes Alves,Diamantina
Produção Cultural: mão na massa,Carla Pereira Silva,Diamantina
Formação de Herbário e Viveiro de Mudas para Espécies Medicinais do Mosaico do Espinhaço (Alto do Jequitinhonha,Andre Silva de Oliveira,Diamantina
 Sustentabilidade Ambiental - Eixo Resíduos Sólidos,Emerson Delano Lopes ,Diamantina
Clube do Empreendedor,Paulo Giovane Aparecido Lemos ,Diamantina
Projeto Portfólio de Oportunidades (POp), Paulo Giovane Aparecido Lemos ,Diamantina
Acompanhamento de egressos ,Josilene de Fatima Cardoso de Sa,Diamantina
"Projeto Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG", Malter Dias Ramos,Diamantina
 Cantando o Gorutuba,Hellen Vivian Moreira dos Anjos,Janaúba
 Vozes Silenciadas das Margens do Gorutuba,Fernando Nunes dos Santos,Janaúba
Geração Z In Foco,Marcos Aurelio Pereira,Janaúba
Pratique Saúde,Farley Jean de Sousa,Janaúba
Federal Running,Daniela Francine Silva,Janaúba
IF JANAÚBA DIGITAL (Projeto de Marketing Digital do IFNMG - Campus Avançado Janaúba nas redes sociais),Romulo Silveira Ramos,Janaúba
Acompanhamento de Egressos, Anamaria Azevedo Lafeta Rabelo,Janaúba
Clube do Empreendedor ,Cleber Roberto Souza ,Janaúba
Portfólio de Oportunidades, Dayse Aparecida Silva Pereira Coutinho,Janaúba
Sustentabilidade Ambiental - Eixo Resíduos Sólidos ,Fabricio Silva Ribeiro ,Janaúba
" Projeto Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões do IFNMG", Hellen Vivian Moreira dos Anjos ,Janaúba
"Agricultura orgânica - dias de campo,dias de aprendizado.",Nelson Licínio Campos de Oliveira,Januária
Automação e robótica ao alcance de todos - oferta de cursos de curtaduração sobre aplicações viáveis com hardware livre.,Felipe Augusto Oliveira Mota,Januária
Boas práticas no manejo conservacionista de abelhas nativas sem ferrão na comunidade de olhos D-água Cônego Marinho-MG.,Eduardo Souza do Nascimento,Januária
Capacitação de manipuladores de alimentos - fator de segurança alimentar e promoção da saúde,Geraldo Magela costa nobre,Januária
Capacitação em gestão da qualidade no canteiro de obras,Lara Fernanda Nunes Dourado,Januária
Capacitação em informática básica para servidores de escola pública,Cláudio Alexandre Gusmão,Januária
Capacitação em utilização dos diversos tipos de cimento portland,Jussara Cruz Nascimento,Januária
Co-Geração de energia mini destilaria de álcool,Wagner da Cunha Siqueira,Januária
Colocando em prática etapa estruturação do núcleo de práticas gerenciais no IFNMG – Campus Januária,Érica Souza Tupiná,Januária
Combatendo o racismo com uso da sétima arte - cinema e valorização da cultura afro-brasileira,Leandro de Aquino Mendes,Januária
Conscientização da funcionalidade do código de obras de Januária-MG,Lara Fernanda Nunes Dourado,Januária
Conscientização e capacitação sobre o uso do tijolo ecológico,Áureo da Silva Santos,Januária
Curso de projetos de edificações com autocad,Matheus Silveira Borges,Januária
Divulgação e popularização da pesquisa e extensão gerada no IFNMG,Antônio Fábio Silva Santos,Januária
"Dosagem, traço e cura do concreto",Áureo da Silva Santos,Januária
Educação Empreendedora:Curso de educação empreendedora para professores das instituições de nível superior de Januária -MG.,Érica Souza Tupiná,Januária
Educação financeira infantil,Eduardo Cabral da Cruz,Januária
Entomologia como instrumento pedagógico no ensino da biologia.,Eliane Souza Gomes Brito,Januária
Gene da matemática - desperte o talento que há em você.,Fábio Mendes Ramos,Januária
"Horta na escola, saúde para vida - implantação de horta educativa, recreativa na escola Estadual da Boa Vista.",Márcio Adriano Santos,Januária
I Dia de campo sobre a cultura do Amendoim para produtores e profissionais da área.,Aroldo Gomes Filho,Januária
IFmaker TV - A web da criatividade.,"Felipe Augusto Oliveira
Mota",Januária
