EVENTO/ SERVIÇO,CAMPUS,
"2. Ao infinito e além - um encontro com a nasa - Gabe Gabrielle é engenheiro, educador e palestrante motivacional. Ele conta sua trajetória no programa espacial da nasa com fotos e vídeos, inspirando crianças, professores e outros profissionais. A gabe possui uma abordagem descontraída que toca as pessoas. Ele encoraja a todos a seguirem seus sonhos, não importa as circunstâncias. Gabe mostrará o lançamento do ônibus espacial, astronautas vivendo na estação espacial, os robôs exploradores e a curiosa jornada de pousar em marte, além de falar do futuro do programa espacial. Um astronauta tem que estabelecer objetivos e se divertir todos os dias, assim os sonhos se tornam realidade. ",Montes Claros,
"3. Qualidade de vida e percepção de hábitos saudáveis entre estudantes do ensino básico, técnico, tecnológico do Instituto Federal do Norte de Minas Gerais - Campus Montes Claros-MG: Apresentar a discussão sobre qualidade de vida entre os discentes do IFNMG-Campus Montes Claros. ",Montes Claros,
"4. Minha experiência na maratona de programação: Fábio Dias Moreira, vencedor e vice-vencedor da Maratona de Programação, ganhador de mais de 30 medalhas em competições acadêmicas, conta sua experiência em competições de programação; ",Montes Claros,
"5. Fator Acidentário Previdenciário - FAT: Contextualizar os desafios e perspectivas do trabalho, potencializar a aproximação dos profissionais da área de Segurança do Trabalho ao mercado de Trabalho e compreender os principais desafios dos profissionais no ambiente laboral ",Montes Claros,
6. Aposentadoria Especial e as consequências dos acidentes de trabalho: Apresentar o que é aposentadoria especial e quais as consequências para o trabalhador e para o patrão de um acidente de trabalho ,Montes Claros,
7. Nexo Técnico Epidemiológico Previdenciário: Características da questão epidemiológica e a sua ligação com as questões previdenciárias,Montes Claros,
1. Palestra técnica ministrada pelo Professor Adler Augusto Rath (Professor de Direito do Campus Pirapora) sobre legislação trabalhista,Pirapora,
"2.  Palestra realizada no anfiteatro do IFNMG Campus Pirapora, das 14 às 15 horas, com a participação dos discentes e comunidade externa; ",Pirapora,
"3. Palestra realizada no anfiteatro do IFNMG Campus Pirapora, das 15 às 16 horas, com a participação dos discentes do IFNMG e comunidade externa",Pirapora,
"4.  Foram 3 (três) dias de palestras. Empresários da microrregião foram convidados a participar, apresentando a história da sua empresa. Houve a participação de estudantes de cursos de administração de outras instituições de ensino da cidade de Pirapora",Pirapora,
1. Políticas Públicas e o Papel do Jovem na Sociedade/Formação para a Cidadania. ,Salinas,
2.  Zoológico - Importância e função. ,Salinas,
3. SIPEAGRO - Novo Sistema de registro de produtos e estabelecimentos agropecuários do Ministério da Agricultura (MAPA). ,Salinas,
4. Mesa Redonda: Os desafios da Leishmaniose. ,Salinas,
"1. Dia do Técnico em Meio Ambiente, Dia Mundial da Água  I Semana do Meio Ambiente  I Startup Talk",Teófilo Otoni,
EXPOSIÇÃO E FEIRA,,
1. Exposição de trabalhos desenvolvidos pelo Campus Almenara,Almenara,
"2. Exposição e doação de variedades de mandioca durante a Festa da Mandioca, Almenara, MG. ",Almenara,
1. A MOSTRAR apresentou trabalhos científicos e projetos das escolas de Araçuaí e região para a comunidade.,Araçuaí,
"2. A I Mostra de artigos científicos da Gestão Ambiental teve por objetivo a exposição das produções científicas dos discentes, com integração dos saberes e preparação para a execução dos Trabalhos de Conclusão de Curso",Araçuaí,
