Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Salinas,ÁREAS VERDES URBANAS PODEM CONTRIBUIR PARA OS SERVIÇOS DE POLINIZAÇÃO?,MICHELLIA PEREIRA SOARES
Salinas,ZONAS HOMOGÊNEAS DE EVAPOTRANSPIRAÇÃO DE REFERÊNCIA PARA O NORTE E NOROESTE DE MINAS GERAIS,MARCELO ROSSI VICENTE
Salinas,AVALIAÇÃO DA ADAPTABILIDADE CLIMÁTICA DE ESPÉCIES EXÓGENAS PRESENTES NAS PRAÇAS PÚBLICAS DE SALINAS – MG,LEONARDO LUIZ SILVEIRA DA SILVA
Salinas,EMBALAGEM ALIMENTÍCIA BIODEGRADÁVEL E INTELIGENTE COM INCORPORAÇÃO DE INDICADOR DE PH,BRUNA CASTRO PORTO
Salinas,AVALIAÇÃO CITOLÓGICA DAS CÉLULAS INFLAMATÓRIAS EM TUMORES MAMÁRIOS DE CADELAS,EDUARDO GARRIDO
Salinas,OPORTUNIDADES EM GERAÇÃO DE CRÉDITOS DE CARBONO NA BACIA DO RIO PARDO VIA PROJETOS MDL FLORESTAIS,RONALDO MEDEIROS DOS SANTOS
Salinas,AVALIAÇÃO DOS PARÂMETROS BIOCLIMÁTICOS DO NORTE DE MINAS GERAIS NO PERÍODO DE 1961 A 2017,JÚLIO CÉSAR OLIVEIRA DIAS
Salinas,"IDENTIFICAÇÃO DO ESTÁGIO DE DETERIORAÇÃO DE MANTEIGAS DE GARRAFA PRODUZIDAS ARTESANALMENTE POR MEIO DE ANÁLISES FÍSICO-QUÍMICAS, SENSORIAIS E QUIMIOMÉTRICAS",ROBERTA MAGALHÃES DIAS CARDOZO
Salinas,CRESCIMENTO E NUTRIÇÃO DE UM CLONE DE EUCALIPTO NA REGIÃO NORTE DE MINAS GERAIS,VINÍCIUS ORLANDI BARBOSA LIMA
Salinas,MONITORAMENTO DA GENOTOXICIDADE EM ERITRÓCITOS E ANÁLISE TOXICOLÓGICA DE PESTICIDAS ORGANOFOSFORADOS EM TILÁPIA DO NILO (OREOCHROMIS NILOTICUS),THAÍS LARISSA LOURENÇO CASTANHEIRA
Salinas,ENRIQUECIMENTO NUTRICIONAL DE BISCOITO COOKIE A PARTIR DE FARINHA DE SEMENTES DE TAMRINDO (TAMRINDUS INDICA): ANÁLISE FÍSICO-QUÍMICA E SENSORIAL,DANIELA CAETANO CARDOSO
Salinas,COMPOSIÇÃO FENÓLICA E ATIVIDADE ANTIOXIDANTE DE RESÍDUOS DE FRUTAS TROPICAIS,BRUNO RICARDO VILACHÃ FERREIRA
Salinas,ANÁLISE DA MORINGA COMO AGENTE DE POTABILIDADE NO TRATAMENTO DA ÁGUA DE COMUNIDADES RURAIS DE SALINAS – MG,FELIPE CIMINO DUARTE
Salinas,DIFERENTES MÉTODOS DE SUPERAÇÃO DE DORMÊNCIA PARA PRODUÇÃO DE MUDAS DE ADENANTHERA PAVONINA L. PRODUZIDAS EM DIFERENTES COMBINAÇÕES DE SUBSTRATOS,JESSICA COSTA DE OLIVEIRA
Salinas,USO DA PALMA FORRAGEIRA NA SUPLEMENTAÇÃO DA DIETA DE VACAS LEITEIRAS NO NORTE DE MINAS,SUSI CRISTINA DOS SANTOS GUIMARÃES MARTINS
Salinas,DINÂMICA DA SERAPILHEIRA E ESTOQUE DE CARBONO NO SOLO EM UM FRAGMENTO DE FLORESTA ESTACIONAL SEMIDECIDUAL NO MUNICÍPIO DE SALINAS – MG,ALESSANDRO DE PAULA DA SILVA
Salinas,PROPRIEDADES MAGNÉTICAS DO MODELO DE ISING SPIN – ½ FERROMAGNÉTICO NA REDE CÚBICA SIMPLES,DIEGO DA CUNHA CARVALHO
Salinas,CONSTRUÇÃO DE APARATOS EXPERIMENTAIS PARA AUXÍLIO NO ENSINO DE FÍSICA NO ENSINO MÉDIO,VAILTON AFONSO DA SILVA
Salinas,ANÁLISE ECONÔMICA E PRODUTIVA DO SISTEMA DE ORDENHA DO IFNMG-CAMPUS SALINAS,FRANCISCO JOSÉ CALIXTO JÚNIOR
Salinas,AVALIAÇÃO DA TERMORRESISTÊNCIA ENZIMAS PROTEOLÍTICAS SECRETADAS POR MICRO-ORGANISMOS ISOLADOS DE QUEIJO MINAS FRESCAL,VALDIRENE RODRIGUES SANTANA
Salinas,EMBALAGEM COMESTÍVEL A BASE DE GELATINA E ÓLEO ESSENCIAL DE COENTRO NA CONSERVAÇÃO DA CARNE BOVINA REFRIGERADA,ISIS CELENA AMARAL
Salinas,AVALIAÇÃO DE FORRAGEIRAS DOS GÊNEROS PANICUM E BRACHIARIA IRRIGADAS E NÃO IRRIGADAS NO NORTE DE MINAS GERAIS,MAGALHÃES TEIXEIRA DE SOUZA
Salinas,DETERMINAÇÃO DO TAMANHO DO GENOMA E DA COMPOSIÇÃO DE BASES EM MOGNO AFRICANO (KHAYA IVORENSIS) POR CITOMETRIA DE FLUXO,GUILHERME MENDES DE ALMEIDA CARVALHO
Salinas,APRENDIZAGEM DE UMA MANEIRA TRANSDICIPLINAR POR MEIO DA ROBÓTICA COM ÊNFASE NA FÍSICA,MARIA DA PENHA DE LAIA
Salinas,DESENVOLVIMENTO DE COAGULANTES À BASE DE MORINGA OLEIFERA COMO ALTERNATIVA PARA PRÉ-TRATAMENTO DE ÁGUA,HIGOR ALEXANDRE RODRIGUES MAIA
Salinas,"NOVAS TECNOLOGIAS E ENSINO: UMA PROPOSTA DE CAPACITAÇÃO DOCENTE NO IFNMG, CAMPUS SALINAS",ANA CLARA GONÇALVES ALVES DE MEIRA
Salinas,COMPORTAMENTO INGESTIVO E REPRODUTIVO DE NOVILHAS NELORE EM SISTEMA SILVIPASTORIL COM E SEM DESRAMA,WOLFF CAMARGO MARQUES FILHO
Salinas,"PARASITOFAUNA E POTENCIAL ICTIOZOONÓTICO DE TRAÍRAS (HOPLIAS MALABARICUS, BLOCH, 1794) EM SALINAS, MINAS GERAIS",VANESSA PAULINO DA CRUZ VIEIRA
Salinas,CARACTERIZAÇÃO ESPECTROSCÓPICA DE MATERIAIS BIOCOMBUSTÍVEIS,ALISSON MARQUES DE MIRANDA’
Salinas,DESENVOLVIMENTO DE VÍDEO AULAS DE CURTA DURAÇÃO DE CÁLCULO E ESTATÍSTICA PARA AUXILIAR OS ALUNOS NO APRENDIZADO,ANDERSON VANTUIR NOBRE VIEIRA
Salinas,DESENVOLVIMENTO DE VÍDEO AULAS DE CURTA DURAÇÃO DE CÁLCULO E ESTATÍSTICA PARA AUXILIAR OS ALUNOS NO APRENDIZADO,ANDERSON VANTUIR NOBRE VIEIRA
Salinas,USO DE SOFTWARE R NAS SALAS DE AULA NAS DISCIPLINAS DE ESTATÍSTICA DO IFNMG-SALINAS PARA AUXILIAR NOS CÁLCULOS ESTATÍTICOS E NO APROFUNDAMENTO DOS ALUNOS,ANDERSON VANTUIR NOBRE VIEIRA
Salinas,PESQUISA DE BRUCELLA CANIS EM CÃES COM HISTÓRICO DE ALTERAÇÕES REPRODUTIVAS,THAÍS LARISSA LOURENÇO CASTANHEIRA
Salinas,CONCEITOS E (PRE) CONCEITOS NA EDUCAÇÃO A DISTÂNCIA: UM ESTUDO SOBRE A PERCEPÇÃO DE ALUNOS E DOCENTES SOBRE A EDUCAÇÃO A DISTÂNCIA NO IFNMG/ CAMPUS SALINAS ,MEIRIVAM BASTISTA DE OLIVEIRA FERREIRA
Salinas,"EFICÁCIA DO ÓLEO ESSENCIAL DE Medusantha martiusii (Benth) Harley & J.F.B. Pastore (IAMIACEAE) NO CONTROLE LARVICIDA DE Aedes aegypti Linnaeus, 1762 ",FÁBIO WÉLIGTON JORGE LIMA
Salinas,"AMACIANTES CÁRNEOS: BROMELINA, PAPAÍNA, FICINA E SUA ATUAÇÃO NA CARNE BOVINA ",FELIPE CIMINO DUARTE
Salinas,EFEITO DA APLICAÇÃO DE REVESTIMENTO COMESTÍVELNA CONSERVAÇÃO PÓS COLHEITA DE TOMATE,MÁRCIA ANTUNES DOS SANTOS RODRIGUES
Salinas,USO DO HIDROGEL NA PRODUÇÃO DE MUDES DE EUCALIPTO SUBMETIDAS A DIFERENTES LÂMINAS DE IRRIGAÇÃO,PAULO ANDRÉ TRAZZI
Salinas,EFICIÊNCIA DO USO DA ÁGUA POR MEIO DE ADUBAÇÃO POTÁSSIA NA PRODUÇÃO DE MUDAS DE EUCALIPTO,PAULO ANDRÉ TRAZZI
Salinas,BARRA DE CEREAL ADICIONADA DE RESÍDUOS AGROINDUSTRIAIS: COMPOSIÇÃO QUÍMICA E AVALIAÇÃO,EDILENE ALVES BARBOSA
Salinas,"ELABORAÇÃO, CARACTERIZAÇÃO E ACEITABILIDADE DE BOLO SEM GLÚTEN Á BASE DE FARINHA DE ARROZ E ADICIONADO DE RESÍDUOS AGROINDUSTRIAIS",MÁRCIA ANTUNES DOS SANTOS RODRIGUES
Salinas,AVALIAÇÃO DA DENSIDADE E POROSIDADE DO SOLO EM ÁREAS DE DIFERENTES MANEJOS PERTENCENTES AO IFNMG- CAMPUS SALINAS ,ALESSANDRO DE PAULA DA SILVA
Salinas,PROSPECÇÃO FITOQUÍMICA E AVALIAÇÃO DAS ATIVIDADES ANTIMICROBIANA E ANTIOXIDANTE DE Diospyros sericeae ( EBENACEAE) ,NATHALIA BASTOS LIMA DE ANDRADE
Salinas,AVALIAÇÃO DA QUALIDADE FÍSICO-QUÍMICA DE LEITE CRU COMERCIALIZADO NA CIDADE DE SALINAS-MG ,MÁRCIA ANTUNES DOS SANTOS RODIGUES
Salinas,"DESEMPENHO, PRECOCIDADE E BEMESTAR DE NOVILHAS NELORE EM SISTEMA SILVIPASTORIL ",WOLF CAMARGO MARQUES FILHO
Salinas,"BOLO DE BANANA ELABORADO COM FARINHAS DE TRIGO, ARROZ, E AVEIA APLICANDO AS TÉCNICAS DE ANÁLISE SENSOLRIAL, FÍSICO-QUÍMICA E MICROBIOLOGIA",MÁRCIA ANTUNES DOS SANTOS RODIGUES
Salinas,CULTURA ALIMENTAR E SUSTENTABILIDADE NA PRODUÇÃO DE ALIMENTOS SAUDÁVEIS: RESGATE DE PRÁTICAS CULINÁRIAS E FOMENTO DA SEGURANÇA ALIMENTAR EM COMUNIDADES QUILOMBOLAS NA MESORREGIÃO DO VALE DO JEQUITINHONHA,RICARDO DOS SANTOS SILVA
Salinas,"AVALIAÇÃO DA SUPLEMENTAÇÃO ALIMENTAR COM COMPLEXO AMINOÁCIDO VITAMÍNICO E XAROPE, SOBRE CARACTERÍSTICAS PRODUTIVAS E REPRODUTIVAS DE Apis mellifera NA FLORADA DE AROEIRA",THIAGO MOREIRA DOS SANTOS
Salinas,UTILIZAÇÃO DO FENO DA PARTE AÉREA DA MANDIOCA NA ALIMENTAÇÃO DE OVINOS CONFINADOS,Antônio Eustáquio Filho
Salinas,Aperfeiçoamento de Técnicas para a Criopreservação do Sêmen Ovino,JÚLIO CÉSAR OLIVEIRA DIAS
Salinas,"Avaliação do Perfil de Sensibilidade Microbiológica Isolada de Útero de Cadelas com Piometra, Avaliação do Padrão de Lesões Histopatológicas Uterinas e Características Ovarianas",EDUARDO GARRIDO
Salinas,A suplementação Alimentar no Desempenho e Características do Mel da Apis mellifera em Salinas/MG,Thiago Moreira dos Santos
Salinas,Utilização do Farelo de Palma na Alimentação de Ovinos Confinados ,Antônio Eustáquio Filho
Salinas,O Turismo Impacta a Flora e Fauna de Invertebrados de Solo em Ambientes Cavernícolas,Tatianne Gizelle Marques Silva
Salinas,Potencial de Estabelecimento de Sistema Silvipastoril na Recuperação de Pastagem Degradada no Norte de Minas Gerais,ALESSANDRO DE PAULA DA SILVA
Salinas,Violência Contra a Mulher no Ambiente Universitário: Com Ênfase aos Danos Causados a Saúde das Vítimas,Patrícia Nery Silva Souza
Salinas,Desenvolvimento e Caracterização de uma Formulação em Gel para Administração Tópica Contendo Extrato da Casca da Romã,Cristiane da Silva Melo
Salinas,Pesquisa de Brucella canis em Cães Errantes no Município de Salinas – MG,Thaís Larissa Lourenço Castanheira
Salinas,Métodos de Quebra de Dormência de Sementes de Espécies Florestais Nativas,Alessandro de Paula Silva
Salinas,Avaliação da Atividade Antifúngica do Extrato Alcoolico de Diospyros sericea,Cristiane da Silva Melo
Salinas,Influência do Desbaste em Povoamento de Eucalipto na Região de Indaiabira/MG,VINÍCIUS ORLANDI BARBOSA LIMA
Salinas,"Avaliação do Potencial Antioxidante das Partes Específicas ( Cascas, Caroço e Polpa) do Cajá-manga ( Spondias dulcis)",BRUNO RICARDO VILACHÃ FERREIRA
Salinas,"Levantamento e Estudo de Plantas Usadas por Pessoas Diagnosticadas com Doença de Chagas no Município de Salinas, Norte de Minas Gerais",Sileimar Maria Lelis
Salinas,Mercado de Trabalho e Educação na Microrregião de Salinas-MG: Uma Análise para Além dos Dados Quantitativos,RICARDO DOS SANTOS SILVA
Salinas,Análise do Perfil dos Consumidores de Doce de Leite Comercializados no Norte de Minas,DANIELA CAETANO CARDOSO
Salinas,Análise Sensorial como Ferramenta para a Diferenciação de Iogurte e Bebida Láctea,DANIELA CAETANO CARDOSO
Salinas,Influência da Embalagem na Aceitação Sensorial de Diferentes Marcas Comerciais de Biscoitos Cookie,DANIELA CAETANO CARDOSO
Salinas,Using Flow to Retrieve Class Dependencies in Javascript,Leonardo Humberto Guimarães Silva
Salinas,Estudo de Mercado de Café Torrado e Moído Tradicional Produzido na Microrregião de Taiobeiras -MG: Características da Embalagem na Intenção de Compra do Consumidor,Daniela Caetano Cardoso
Salinas,Avaliação Sensorial dos Aspectos Visuais de Diferentes Tipos de Embalagens e Rótulos de Milho Verde Comercializados no Mercado Local da Cidade de Salinas-MG,Daniela Caetano Cardoso
Salinas,Aplicações da Pegada Ecológica em Escolas Públicas de Salinas: Um Estudo Comparativo ,Maria Gisely Camargo
Salinas,Aceleração no Processo de Envelhecimento como Alternativa para Diminuir o Tempo para Inserção da Cachaça no Mercado Consumidor com Base no Padrão Sensorial,Daniela Caetano Cardoso
Salinas,Análise Sensorial de Cachaças Comerciais de Salinas-MG Envelhecidas em Toneis de Umburana,Daniela Caetano Cardoso
Salinas,Avaliação Sensorial dos Rótulos e Embalagens de Cachaças Envelhecidas em Barris de Carvalho na Cidade de Salinas-MG,Daniela Caetano Cardoso
Salinas,Avaliação Sensorial entre o Doce de Marmelo Artesanal Produzido em São João do Paraíso -MG e Industrializado Comercializado na Região,Daniela Caetano Cardoso
Salinas,Saberes Populares: Um olhar dos moradores de Salinas-MG e Região sobre as Serpentes,Thaís Larissa Lourenço Castanheira
Salinas,Investigação do Perfil de Saúde como Ferramenta de Monitoramento e Bem estar Animal em Matrizes e Reprodutores Suínos do IFNMG -Campus Salinas,Thaís Larissa Lourenço Castanheira
Salinas,Eficiência do Uso de Biofertilizante no Cultivo da Cana-energia irrigada,Raiane Ferreira de Miranda
Salinas,Biochar na Composição de Substratos para Produção de Mudas de Espécies Florestais,Jane Bruna de Almeida
Salinas,Alternativas para Produção de Hidrogel,Jane Bruna de Almeida 
Salinas,Quantificação de Taninos em Espécies Florestais ,Lílian de Almeida Brito
Salinas,Seleção de Leveduras Isoladas a Partir de Frutos Nativos do Cerrado para Fabricação de Cachaça de Alambique ,Marcos de Oliveira
Salinas,"Estudo do Descarte Residencial de Medicamentos Vencidos na Região de Salinas, Minas Gerais, Brasil",Valéria Magro Octaviano Bernis
Salinas,Avaliação da Presença da Amilase Salivar em Cães,Valéria Magro Octaviano Bernis
Salinas,Avaliação da Presença da Amilase Salivarem Bovinos,Valéria Magro Octaviano Bernis
Salinas,Incidência de Dermatofitose em Felinos no Município de Salinas – MG,Valéria Magro Octaviano Bernis
Salinas,Avaliação In vivo do Efeito Cicatrizante de Formulações em Gel Contendo Extratos da Casca da Romã (Punica granatum L.) em Lesões Cutâneas de Coelhos,Cristiane da Silva Melo
Salinas,Sabereis Tradicionais Femininos: Conhecimentos sobre o Parto e Utilização de Ervas Medicinais ,Rosana de Jesus dos Santos
Salinas,Resistência Natural de Eucalytus sp. A Postia placenta e Tramites versicolor,Lílian de Almeida Brito
Teófilo Otoni,"Sistemas de Informações Gerenciais na Gestão de Recursos Humanos: Desenvolvimento de um Aplicativo de Gerenciamento de Processo de Recrutamento, Seleção, Cargos e Carreiras",Gustavo Henrique Silva de Souza 
Teófilo Otoni,Plataforma Online para Mapeamento da Cultura do Norte de Minas Gerais ,Yuri Bento Marques
Teófilo Otoni,Desenvolvimento de um Sistema de Informação para Gerenciar os Atendimentos aos Discentes Utilizando o Paradigma Orientado a Objetos,Henrique Faria de Oliveira
Teófilo Otoni,"Comportamento Empreendedor, Valores Básicos e Autorrealização: Um Estudo Teórico- Empírico Baseado na Teoria Z de Maslow",Gustavo Henrique Silva de Souza 
Teófilo Otoni,Modelos Motivacionais Padronizados na Administração de Pessoas: O Desenvolvimento de um Sistema Gerencial de Plano de Carreiras,Gustavo Henrique Silva de Souza 
Teófilo Otoni,Tanque guarda-chuva: Desenvolvimento de Sistema Alternativo de Baixo Custo para Captação e Armazenamento de Água da Chuva para Aplicação em Programa de Recuperação de Áreas Degradadas do IFNMG Campus Teófilo Otoni,Renildo Ismael Félix da Costa
Teófilo Otoni,"Comportamento Empreendedor, Valores Básicos e Autorrealização: Um Estudo Teórico- Empírico Baseado na Teoria Z de Maslow",Gustavo Henrique de Souza
Teófilo Otoni,Clima Organizacional e Padrões Individuais no Serviço Público: Um Estudo de Caso no Instituto Federal do Norte de Minas Gerais (IFNMG),Gustavo Henrique Silva de Souza 
