Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Arinos,Desempenho Bioeconômico do Confinamento de Bovinos Alimentados com Dieta com Grão Interno,Ronan Aparecido Valadares 
Arinos,Caracterização Fotoquímica e Avaliação da Atividade Antibacteriana de Dipteryx Alata Vogel,Cinthia Gracielly Rodrigues 
Arinos,"Germinação, Qualidade Sanitária e Fisiológica de Sementes de Espécies do Cerrado no Vale do Urucuia -MG: Baru (Diptery Alata Vog.) e Araticum ( Annona Crassiflora Mart.)",Gabriel Muller Valadão
Arinos,Pesquisa de Fraude do Leite Cru Produzido nos Assentamentos de Arinos/MG,Gustavo Rodrigues Morgado
Arinos,Avaliação Microbiológica do leite Cru Produzido nos Assentamentos de Arinos/MG,Gustavo Rodrigues Morgado
Arinos,Análise Sensorial de um Composto Alimentar Ecosocial de Pólen Apícola e Baru,Gabriel Muller Valadão
Arinos,Software de Gerenciamento dos resultados dos simulados aplicados no ensino médio integrado do IFNMG- Campus Arinos,Claudianne Myllene Morais de Almeida
Diamantina,Avaliação da Ação Antiviral para os Vírus Dengue e Zika de Cinco Plantas Medicinais Encontradas no Vale do Jequitinhonha,André Silva Oliveira
Diamantina,Condicionador de Solo a Partir de Biomassa Residual da Produção de Carvão Vegetal,Emerson Delano Lopes
Diamantina,Democratizando a Informação com a Data Science: Uma Análise dos Gastos com as Instituições Federais de Ensino,Bruno Lopes de Faria
Diamantina,Permanência e Evasão nos Cursos Técnicos do Instituto Federal do Norte de Minas Gerais – Campus Diamantina ,Bruna Mendes Oliveira
Diamantina,"Avaliação do Potencial Efeito Antiviral de Compostos Derivados das Inda-1,3- Dionas Contra os Vírus Dengue e Zika",Ana Flávia Costa da Silveira Oliveira
Diamantina,Oportuniza IF,Carla Pereira Silva
Diamantina,"Jogos Educativos Digitais, Como Ferramentas Destinadas ao Ensino de Química",Jannaine Nunes Alves
Diamantina,"Gestão do Trabalho, Relações de Poder e Adoecimento: Revelando a Face Perversa da Gestão",André Aristóteles da Rocha Muniz 
Diamantina,Experimentação em Química no Curso Técnico em Agropecuária em Regime de Alternância: Construção de Propostas Direcionadas ao Ensino no IFNMG Campus Almenara ,Janainne Nunes Alves
Janaúba,Conhece-te a ti mesmo: Análise dos perfis socioeconômicos e culturais dos discentes do Técnico em Informática para Internet do Campus Avançado Janaúba ,Dinamor Chicarelli do Nascimento
Janaúba,Filmes Hollywoodianos e Histórias em Quadrinhos: Estratégia de Ensino nas Aulas de Física,Júlio Cezar Barbosa Rocha
Janaúba,Impressora Braille de Baixo Custo,Felipe Cézar de Castro Antunes
Janaúba,Municípios da Área de Abrangência do Instituto Federal do Norte de Minas Gerais- Campus Avançado Janaúba: Uma Leitura a Partir de Indicadores Socioeconômicos ,Fabrício Silva Ribeiro
Janaúba,"Sertão Norte Mineiro, onde Repousa o Berço das Gerais: Reflexão Acerca do Processo de Formação do Norte de Minas Gerais sob a Perspectiva da História da Arquitetura, da Formação das Cidades Brasileiras no Período Colonial, da Literatura, da Arte das suas várias Linguagens ",Hellen Vívian Moreira dos Anjos
Janaúba,Conhece-te a ti mesmo: Análise dos perfis socioeconômicos e culturais dos discentes do Técnico em Informática para Internet do Campus Avançado Janaúba ,Fernando Nunes dos Santos
Janaúba,Laboratório Didático de Física Tendo Como Plataforma Raspberry Pi,Júlio Cézar Barbosa Rocha
Januária,Inspeção de Patologias por Efeito de Agentes Biológicos em Estruturas de Edificações Históricas ,Áureo da Silva Santos 
Januária,"Avaliação de Genótipos de Mandioca e Épocas de Colheita na Região da Bacia do Rio Pandeiros, em Ambiente Irrigado e não Irrigado.",Ednaldo Liberato de Oliveira
Januária,Um Minuto de Sono Vale Muito,Yuri Álisson Rodrigues de Oliveira
Januária,Ensaio na Barra de Tração e Estimativa da Demanda Energética de um Trator Agrícola de Pneus,Wagner da Cunha Siqueira
Januária,Viabilidade Econômico de Sensor óptico na Adubação Nitrogenada a Taxa Variada na Cultura do Milho,Wagner da Cunha Siqueira
Januária,Eficiência do Poleiro Artificial como Método de Recuperação Ambiental em um Pasto Abandonado em Área de Proteção Ambiental Cavernas do Peruaçu,Tattiane Gomes Costa
Januária,"Seletividade Fisiológica do Herbicida Atrazine Sobre o Predador Doru luteipes ( Scudder, 1876) ( Dermaptera: Forficulidae)",Claubert Wagner Guimarães de Menezes
